CARSON CITY,County Clerk,(775)-887-2087,www.carson.org

CHURCHILL COUNTY,County Clerk,(775)-423-6028,www.churchillcounty.org 

CLARK COUNTY, Elections Department,(702)-455-VOTE,www.clarkcountynv.gov/vote

DOUGLAS COUNTY,County Clerk,(775)-782-9023,cltr.co.douglas.nv.us

ELKO COUNTY,County Clerk,(775)-753-4600 FAX-753-4610,www.elkocountynv.net

ESMERALDA COUNTY,County Clerk,(775)-485-6367,www.accessesmeralda.com

EUREKA COUNTY,County Clerk,(775)-237-5262,co.eureka.nv.us 

HUMBOLDT COUNTY,County Clerk,(775)-623-6343,www.hcnv.us

LANDER COUNTY,County Clerk,(775)-635-5738,www.landercountynv.org

LINCOLN COUNTY,County Clerk,(775)-962-5390,www.lincolncountynv.org

LYON COUNTY,County Clerk,(775)-463-6501,www.lyon-county.org

MINERAL COUNTY,County Clerk,(775)-945-2446,www.mineralcountynv.us

NYE COUNTY,County Clerk,(775)-482-8127,www.nyecounty.net

PERSHING COUNTY,County Clerk,(775)-273-2208,www.pershingcounty.net

STOREY COUNTY,County Clerk,(775)-847-0969,www.storeycounty.org

WASHOE COUNTY,Elections Department,(775)-328-3670,www.washoecounty.us/voters

WHITE PINE COUNTY,County Clerk,(775) 293-6509,www.whitepinecounty.net
